Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20412-il-1000000-n5
Airfoil,sc20412-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,78.1591
Max Cl/Cd alpha,8
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20412-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-19.750,-1.1477,0.12904,0.12627,-0.0043,1.0000,0.0136
-19.500,-1.2094,0.11306,0.11008,-0.0133,1.0000,0.0135
-19.250,-1.2648,0.09872,0.09552,-0.0212,1.0000,0.0134
-19.000,-1.3053,0.08743,0.08403,-0.0274,1.0000,0.0134
-18.750,-1.3333,0.07863,0.07505,-0.0323,1.0000,0.0134
-18.500,-1.3533,0.07152,0.06780,-0.0362,1.0000,0.0135
-18.250,-1.3673,0.06564,0.06177,-0.0393,1.0000,0.0135
-18.000,-1.3771,0.06070,0.05671,-0.0416,1.0000,0.0136
-17.750,-1.3839,0.05639,0.05228,-0.0435,1.0000,0.0136
-17.500,-1.3878,0.05268,0.04846,-0.0449,1.0000,0.0137
-17.250,-1.3901,0.04935,0.04503,-0.0460,1.0000,0.0138
-17.000,-1.3903,0.04641,0.04199,-0.0467,1.0000,0.0139
-16.750,-1.3893,0.04378,0.03926,-0.0472,1.0000,0.0140
-16.500,-1.3868,0.04139,0.03679,-0.0475,1.0000,0.0141
-16.250,-1.3826,0.03925,0.03455,-0.0476,1.0000,0.0142
-16.000,-1.3770,0.03730,0.03252,-0.0476,1.0000,0.0143
-15.750,-1.3696,0.03554,0.03068,-0.0476,1.0000,0.0144
-15.500,-1.3637,0.03368,0.02874,-0.0474,1.0000,0.0145
-15.250,-1.3570,0.03191,0.02691,-0.0472,1.0000,0.0148
-15.000,-1.3482,0.03038,0.02531,-0.0469,1.0000,0.0150
-14.750,-1.3379,0.02899,0.02386,-0.0465,1.0000,0.0152
-14.500,-1.3264,0.02773,0.02255,-0.0461,1.0000,0.0154
-14.250,-1.3139,0.02656,0.02134,-0.0457,1.0000,0.0157
-14.000,-1.3010,0.02547,0.02020,-0.0452,1.0000,0.0159
-13.750,-1.2875,0.02447,0.01914,-0.0446,1.0000,0.0161
-13.500,-1.2742,0.02352,0.01814,-0.0438,1.0000,0.0164
-13.250,-1.2616,0.02264,0.01721,-0.0428,1.0000,0.0166
-13.000,-1.2468,0.02181,0.01633,-0.0421,1.0000,0.0169
-12.750,-1.2289,0.02103,0.01550,-0.0419,1.0000,0.0171
-12.500,-1.2097,0.02030,0.01472,-0.0417,1.0000,0.0174
-12.250,-1.1903,0.01952,0.01390,-0.0417,1.0000,0.0178
-12.000,-1.1698,0.01881,0.01317,-0.0416,1.0000,0.0182
-11.750,-1.1484,0.01818,0.01251,-0.0416,1.0000,0.0187
-11.500,-1.1263,0.01761,0.01193,-0.0415,1.0000,0.0192
-11.250,-1.1038,0.01710,0.01138,-0.0413,1.0000,0.0198
-11.000,-1.0809,0.01662,0.01088,-0.0411,1.0000,0.0203
-10.750,-1.0577,0.01618,0.01040,-0.0409,1.0000,0.0207
-10.500,-1.0343,0.01571,0.00991,-0.0407,1.0000,0.0214
-10.250,-1.0107,0.01527,0.00947,-0.0406,1.0000,0.0222
-10.000,-0.9851,0.01486,0.00905,-0.0407,0.9998,0.0230
-9.750,-0.9538,0.01446,0.00864,-0.0420,0.9989,0.0240
-9.500,-0.9224,0.01408,0.00823,-0.0433,0.9979,0.0248
-9.250,-0.8909,0.01365,0.00782,-0.0446,0.9967,0.0260
-9.000,-0.8588,0.01328,0.00745,-0.0460,0.9956,0.0271
-8.750,-0.8262,0.01294,0.00709,-0.0474,0.9944,0.0283
-8.500,-0.7933,0.01261,0.00675,-0.0489,0.9935,0.0292
-8.250,-0.7619,0.01226,0.00641,-0.0501,0.9916,0.0307
-8.000,-0.7301,0.01194,0.00610,-0.0513,0.9897,0.0321
-7.750,-0.6979,0.01166,0.00581,-0.0525,0.9880,0.0334
-7.500,-0.6653,0.01136,0.00552,-0.0539,0.9864,0.0351
-7.250,-0.6324,0.01106,0.00525,-0.0553,0.9849,0.0371
-7.000,-0.5994,0.01081,0.00499,-0.0566,0.9834,0.0388
