Xfoil polar. Reynolds number fixed. Mach  number fixed
Polar key,xf-sc20712-il-1000000-n5
Airfoil,sc20712-il
Reynolds number,1000000
Ncrit,5
Mach,0
Max Cl/Cd,80.2071
Max Cl/Cd alpha,6.5
Url,http://airfoiltools.com/polar/csv?polar=xf-sc20712-il-1000000-n5

Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
0.500,0.5866,0.00979,0.00299,-0.1245,0.1287,0.6424
0.750,0.6148,0.00999,0.00312,-0.1245,0.1129,0.6442
1.000,0.6429,0.01019,0.00324,-0.1245,0.0994,0.6461
1.250,0.6710,0.01039,0.00338,-0.1244,0.0873,0.6479
1.500,0.6991,0.01059,0.00352,-0.1244,0.0780,0.6498
2.000,0.7552,0.01097,0.00383,-0.1242,0.0651,0.6539
2.250,0.7831,0.01116,0.00400,-0.1242,0.0595,0.6560
2.500,0.8108,0.01137,0.00417,-0.1240,0.0543,0.6579
2.750,0.8386,0.01157,0.00436,-0.1239,0.0506,0.6598
3.000,0.8662,0.01178,0.00455,-0.1237,0.0470,0.6618
3.250,0.8937,0.01200,0.00474,-0.1236,0.0440,0.6638
3.500,0.9211,0.01222,0.00495,-0.1234,0.0411,0.6656
3.750,0.9483,0.01246,0.00517,-0.1231,0.0388,0.6673
4.000,0.9756,0.01269,0.00538,-0.1229,0.0370,0.6688
4.250,1.0026,0.01293,0.00562,-0.1227,0.0350,0.6708
4.500,1.0294,0.01320,0.00589,-0.1223,0.0334,0.6728
4.750,1.0563,0.01343,0.00614,-0.1221,0.0324,0.6747
5.000,1.0830,0.01368,0.00641,-0.1217,0.0312,0.6767
5.250,1.1094,0.01396,0.00669,-0.1213,0.0299,0.6788
5.500,1.1354,0.01428,0.00700,-0.1209,0.0285,0.6808
5.750,1.1617,0.01454,0.00729,-0.1205,0.0278,0.6829
6.000,1.1878,0.01483,0.00759,-0.1201,0.0270,0.6848
6.500,1.2392,0.01545,0.00824,-0.1190,0.0252,0.6891
6.750,1.2642,0.01583,0.00863,-0.1184,0.0243,0.6915
7.000,1.2896,0.01614,0.00899,-0.1179,0.0238,0.6940
7.250,1.3146,0.01648,0.00935,-0.1172,0.0232,0.6965
7.500,1.3394,0.01682,0.00973,-0.1166,0.0225,0.6992
7.750,1.3639,0.01719,0.01011,-0.1159,0.0218,0.7016
8.000,1.3881,0.01759,0.01051,-0.1151,0.0211,0.7037
8.250,1.4115,0.01804,0.01099,-0.1143,0.0203,0.7060
8.500,1.4354,0.01842,0.01142,-0.1135,0.0200,0.7082
8.750,1.4588,0.01883,0.01188,-0.1126,0.0195,0.7104
9.000,1.4818,0.01925,0.01235,-0.1116,0.0191,0.7127
9.250,1.5044,0.01970,0.01283,-0.1106,0.0186,0.7151
9.500,1.5266,0.02017,0.01334,-0.1096,0.0182,0.7174
9.750,1.5482,0.02067,0.01386,-0.1084,0.0178,0.7195
10.000,1.5690,0.02122,0.01444,-0.1071,0.0173,0.7214
10.250,1.5889,0.02183,0.01511,-0.1057,0.0169,0.7236
10.500,1.6091,0.02235,0.01570,-0.1043,0.0167,0.7259
10.750,1.6285,0.02290,0.01632,-0.1028,0.0165,0.7283
11.000,1.6470,0.02347,0.01696,-0.1012,0.0163,0.7307
11.250,1.6643,0.02408,0.01763,-0.0993,0.0160,0.7332
11.500,1.6806,0.02470,0.01831,-0.0973,0.0158,0.7357
11.750,1.6956,0.02535,0.01902,-0.0951,0.0156,0.7380
12.000,1.7074,0.02602,0.01976,-0.0923,0.0153,0.7403
12.250,1.7194,0.02675,0.02057,-0.0897,0.0151,0.7427
12.500,1.7316,0.02755,0.02144,-0.0872,0.0149,0.7451
12.750,1.7431,0.02840,0.02237,-0.0847,0.0148,0.7474
13.000,1.7537,0.02934,0.02338,-0.0821,0.0146,0.7498
13.250,1.7634,0.03036,0.02447,-0.0796,0.0144,0.7523
13.500,1.7714,0.03152,0.02571,-0.0769,0.0142,0.7547
13.750,1.7769,0.03288,0.02716,-0.0741,0.0139,0.7569
14.000,1.7844,0.03412,0.02850,-0.0716,0.0138,0.7592
14.250,1.7919,0.03538,0.02987,-0.0693,0.0138,0.7616
14.500,1.7983,0.03676,0.03135,-0.0670,0.0136,0.7640
14.750,1.8033,0.03830,0.03299,-0.0647,0.0136,0.7664
15.000,1.8067,0.04003,0.03482,-0.0625,0.0135,0.7687
15.250,1.8092,0.04188,0.03678,-0.0604,0.0134,0.7709
15.500,1.8104,0.04394,0.03896,-0.0584,0.0133,0.7729
15.750,1.8099,0.04624,0.04138,-0.0567,0.0132,0.7751
16.000,1.8082,0.04876,0.04403,-0.0551,0.0131,0.7772
16.250,1.8045,0.05161,0.04700,-0.0538,0.0130,0.7793
16.500,1.7990,0.05484,0.05037,-0.0529,0.0130,0.7814
16.750,1.7915,0.05850,0.05416,-0.0524,0.0129,0.7834
17.000,1.7820,0.06268,0.05848,-0.0525,0.0128,0.7853
17.250,1.7694,0.06765,0.06360,-0.0534,0.0128,0.7871
17.750,1.7313,0.08105,0.07734,-0.0586,0.0127,0.7899
18.000,1.7009,0.09065,0.08715,-0.0636,0.0127,0.7909
18.250,1.6548,0.10405,0.10080,-0.0716,0.0127,0.7913
18.500,1.5745,0.12499,0.12208,-0.0844,0.0129,0.7902
